Song,Album,Streams,Daily
Night Changes,FOUR,1251683689,1092604
Story of My Life,Midnight Memories,1110920228,628767
What Makes You Beautiful,Up All Night,1071284212,679313
Drag Me Down,Made In The A.M,1026214583,375735
Perfect,Made In The A.M,758642606,414273
Steal My Girl,FOUR,728362527,404296
18,FOUR,585180875,443672
Little Things,Take Me Home,570782855,190633
History,Made In The A.M,538549071,183922
You & I,Midnight Memories,536992256,271987
Best Song Ever,Midnight Memories,525631518,253898
They Don't Know About Us,Take Me Home,511376208,205405
Kiss You,Take Me Home,388255857,140253
Live While We're Young,Take Me Home,353347798,152942
Right Now,Midnight Memories,344396149,429617
One Thing,Up All Night,318374110,156300
No Control,FOUR,269944677,96849
If I Could Fly,Made In The A.M,266130487,66418
Strong,Midnight Memories,258186646,234416
Olivia,Made In The A.M,257559031,83605
Infinity,Made In The A.M,220056207,46765
Midnight Memories,Midnight Memories,205491449,65870
Stockholm Syndrome,FOUR,199671670,95223
Love You Goodbye,Made In The A.M,196092007,46204
A.M.,Made In The A.M,179047820,36825
Fool's Gold,FOUR,178122414,61459
Half a Heart,Midnight Memories,176489759,42404
Where Do Broken Hearts Go,FOUR,172168497,56462
What a Feeling,Made In The A.M,167590335,60528
Fireproof,FOUR,167568530,53277
End of the Day,Made In The A.M,165292123,34235
One Way or Another (Teenage Kicks),Single,161892465,49224
Happily,Midnight Memories,155938918,43219
Over Again,Take Me Home,155051576,38300
More Than This,Up All Night,150390825,38812
Walking in the Wind,Made In The A.M,142580613,51874
Rock Me,Take Me Home,137278257,35382
Last First Kiss,Take Me Home,136170962,37796
Diana,Midnight Memories,134549120,40321
Ready to Run,FOUR,130161045,37572
Temporary Fix,Made In The A.M,128951089,36873
Girl Almighty,FOUR,124292084,32615
Wolves,Made In The A.M,116969640,28572
Up All Night,Up All Night,115828158,34161
Never Enough,Made In The A.M,112194508,22942
I Want to Write You a Song,Made In The A.M,110942324,24184
Gotta Be You,Up All Night,110832880,33262
I Would,Take Me Home,108551065,29228
Don't Forget Where You Belong,Midnight Memories,102896145,26171
Hey Angel,Made In The A.M,98674370,23312
She's Not Afraid,Take Me Home,97701364,25819
C'mon, C'mon,Take Me Home,96536181,27375
Moments,Up All Night,94743167,25788
Through the Dark,Midnight Memories,94640627,30892
Act My Age,FOUR,92335234,19501
Home,Made In The A.M,91850652,24344
Heart Attack,Take Me Home,89183513,18823
Better Than Words,Midnight Memories,83102263,19135
I Wish,Up All Night,82812171,21026
Long Way Down,Made In The A.M,82628756,18294
Clouds,FOUR,81412768,19286
Taken,Up All Night,80252609,18249
Spaces,FOUR,79149977,16744
Little White Lies,Midnight Memories,78766529,19897
Nobody Compares,Take Me Home,78648710,20216
Summer Love,Take Me Home,76501398,15335
Change My Mind,Take Me Home,75951270,15980
Little Black Dress,Midnight Memories,75860284,21488
Still The One,Take Me Home,75668058,20890
I Want,Up All Night,70334053,15810
Once in a Lifetime,FOUR,69805283,15711
Does He Know?,Midnight Memories,68414760,17525
Why Don't We Go There,Midnight Memories,67079016,17040
Change Your Ticket,FOUR,65238942,15228
Back For You,Take Me Home,63959565,15041
Loved You First,Take Me Home,61304294,14026
Something Great,Midnight Memories,60646141,15476
Same Mistakes,Up All Night,60123529,11719
Alive,Midnight Memories,59250132,13548
Stand Up,Up All Night,58956492,14445
Illusion,FOUR,57948360,12850
Tell Me a Lie,Up All Night,56078528,13023
Stole My Heart,Up All Night,54694709,13119
Na Na Na,Up All Night,52168649,15711
Magic,Take Me Home,52075746,32294
Everything About You,Up All Night,49542549,10549
I Should Have Kissed You,Up All Night,46562951,15985
Save You Tonight,Up All Night,45800767,8970
Night Changes - Live Acoustic Session,FOUR,39449798,9649
Truly Madly Deeply,Take Me Home,33307544,17584
Irresistible,Take Me Home,29870082,15634
Another World,Up All Night,29182427,7198
